,iName,jName,Tij
0,Amboori__Thiruvananthapuram,Amboori__Thiruvananthapuram,14328.0
1,Amboori__Thiruvananthapuram,Anad__Thiruvananthapuram,0.4568682913922479
2,Amboori__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,0.01681068858753569
3,Amboori__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,0.03697029460470535
4,Amboori__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,1.0752712879023232
5,Amboori__Thiruvananthapuram,Aryanad__Thiruvananthapuram,6.979684983588866
6,Amboori__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,61.78297692322797
7,Amboori__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,1.0706490686196666
8,Amboori__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,0.07888928299164324
9,Amboori__Thiruvananthapuram,Azhoor__Thiruvananthapuram,0.03018038671470071
10,Amboori__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,1.7559267331527484
11,Amboori__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,0.029710559428053104
12,Amboori__Thiruvananthapuram,Chenkal__Thiruvananthapuram,2.0985109548074594
13,Amboori__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,0.017134979237100608
14,Amboori__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,0.030520252599539843
15,Amboori__Thiruvananthapuram,Edava__Thiruvananthapuram,0.022489745595534426
16,Amboori__Thiruvananthapuram,Elakamon__Thiruvananthapuram,0.022104373391500603
17,Amboori__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,0.022909700255470542
18,Amboori__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,0.054399582801589005
19,Amboori__Thiruvananthapuram,Kallara__Thiruvananthapuram,0.03220281499190361
20,Amboori__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,732.0726088284191
21,Amboori__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,1.0333569300491428
22,Amboori__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,0.39679710404300994
23,Amboori__Thiruvananthapuram,Karakulam__Thiruvananthapuram,0.7101659030637486
24,Amboori__Thiruvananthapuram,Karavaram__Thiruvananthapuram,0.030660455253046337
25,Amboori__Thiruvananthapuram,Karode__Thiruvananthapuram,0.8749011197568692
26,Amboori__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,0.42697558074084263
27,Amboori__Thiruvananthapuram,Kattakada__Thiruvananthapuram,22.15648933812777
28,Amboori__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,0.02072534231581297
29,Amboori__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,0.0354391454387903
30,Amboori__Thiruvananthapuram,Kollayil__Thiruvananthapuram,5.658094415993732
31,Amboori__Thiruvananthapuram,Kottukal__Thiruvananthapuram,0.7846333130531933
32,Amboori__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,0.7201049242910259
33,Amboori__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,58.17899800439857
34,Amboori__Thiruvananthapuram,Madavoor__Thiruvananthapuram,0.020103076326222335
35,Amboori__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,3.642998693652436
36,Amboori__Thiruvananthapuram,Manampoor__Thiruvananthapuram,0.022743472690891817
37,Amboori__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,0.042490877874374396
